Acromyrmex echinatior
Atta colombica
Camponotus floridanus
Cardiocondyla obscurior
Cyphomyrmex costatus
Dinoponera quadriceps
Harpegnathos saltator
Lasius niger
Linepithema humile
Monomorium pharaonis
Ooceraea biroi
Pogonomyrmex barbatus
Pseudomyrmex gracilis
Solenopsis invicta
Trachymyrmex septentrionalis
Vollenhovia emeryi
Wasmannia auropunctata
Apis mellifera
Bombus impatiens
Ceratina calcarata
Dufourea novaeangliae
Eufriesea mexicana
Euglossa dilemma
Habropoda laboriosa
Lasioglossum albipes
Megachile rotundata
Melipona quadrifasciata
Polistes canadensis
Athalia rosae
Cephus cinctus
Ceratosolen solmsi marchali
Copidosoma floridanum
Diachasma alloeum
Fopius arisanus
Macrocentrus cingulum
Microplitis demolitor
Nasonia vitripennis
Neodiprion lecontei
Orussus abietinus
Trichogramma pretiosum
